upvotes,total_votes,rating,review,polarity,subjectivity,confidence,sentiment
1,1,5,I have bought several of the Vitality canned dog food products and have found them all to be of good quality The product looks more like a stew than a processed meat and it smells better My Labrador is finicky and she appreciates this product better than most,0.45,0.43333333333333335,0.9527523517608643,2
0,0,1,Product arrived labeled as Jumbo Salted Peanutsthe peanuts were actually small sized unsalted Not sure if this was an error or if the vendor intended to represent the product as Jumbo,-0.033333333333333326,0.762962962962963,0.5703980922698975,0
1,1,4,This is a confection that has been around a few centuries It is a light pillowy citrus gelatin with nuts in this case Filberts And it is cut into tiny squares and then liberally coated with powdered sugar And it is a tiny mouthful of heaven Not too chewy and very flavorful I highly recommend this yummy treat If you are familiar with the story of CS Lewis The Lion The Witch and The Wardrobe this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch,0.1335714285714286,0.4485714285714285,0.921968936920166,2
3,3,2,If you are looking for the secret ingredient in Robitussin I believe I have found it I got this in addition to the Root Beer Extract I ordered which was good and made some cherry soda The flavor is very medicinal,0.16666666666666666,0.5333333333333333,0.942871630191803,2
0,0,5,Great taffy at a great price There was a wide assortment of yummy taffy Delivery was very quick If your a taffy lover this is a deal,0.48333333333333334,0.6375,0.986130952835083,2
0,0,4,I got a wild hair for taffy and ordered this five pound bag The taffy was all very enjoyable with many flavors watermelon root beer melon peppermint grape etc My only complaint is there was a bit too much redblack licoriceflavored pieces just not my particular favorites Between me my kids and my husband this lasted only two weeks I would recommend this brand of taffy it was a delightful treat,0.25740740740740736,0.6014814814814815,0.9545449614524841,2
0,0,5,This saltwater taffy had great flavors and was very soft and chewy Each candy was individually wrapped well None of the candies were stuck together which did happen in the expensive version Fralingers Would highly recommend this candy I served it at a beachthemed party and everyone loved it,0.215,0.6074999999999999,0.97312331199646,2
0,0,5,This taffy is so good It is very soft and chewy The flavors are amazing I would definitely recommend you buying it Very satisfying,0.41600000000000004,0.6910000000000001,0.9885069131851196,2
1,1,5,Right now Im mostly just sprouting this so my cats can eat the grass They love it I rotate it around with Wheatgrass and Rye too,0.42857142857142855,0.5452380952380952,0.9178302884101868,2
0,0,5,This is a very healthy dog food Good for their digestion Also good for small puppies My dog eats her required amount at every feeding,0.44999999999999996,0.5625,0.9605664014816284,2
1,1,5,I dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away When we realized that we simply couldnt find it anywhere in our city we were bummedbr br Now because of the magic of the internet we have a case of the sauce and are ecstatic because of itbr br If you love hot sauceI mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of Tequila Picante Gourmet de Inclan Just realize that once you taste it you will never want to use any other saucebr br Thank you for the personal incredible service,0.19296875,0.6824776785714286,0.8593518137931824,2
4,4,5,One of my boys needed to lose some weight and the other didnt I put this food on the floor for the chubby guy and the proteinrich no byproduct food up higher where only my skinny boy can jump The higher food sits going stale They both really go for this food And my chubby boy has been losing about an ounce a week,0.012500000000000002,0.5125000000000001,0.5115630030632019,1
1,1,1,My cats have been happily eating Felidae Platinum for more than two years I just got a new bag and the shape of the food is different They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food Ive noticed similar reviews related to formula changes in the past Unfortunately I now need to find a new food that my cats will eat,0.12992424242424241,0.5330808080808082,0.4794224500656128,1
2,2,4,good flavor these came securely packed they were fresh and delicious i love these Twizzlers,0.5800000000000001,0.66,0.9865208864212036,2
4,5,5,The Strawberry Twizzlers are my guilty pleasure yummy Six pounds will be around for a while with my son and I,-0.5,1.0,0.9776851534843445,2
4,5,5,My daughter loves twizzlers and this shipment of six pounds really hit the spot Its exactly what you would expectsix packages of strawberry twizzlers,0.225,0.225,0.978694498538971,2
0,0,2,I love eating them and they are good for watching TV and looking at movies It is not too sweet I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them,0.46249999999999997,0.5875,0.9515752792358398,2
0,0,5,I am very satisfied with my Twizzler purchase I shared these with others and we have all enjoyed them I will definitely be ordering more,0.4125,0.675,0.9888889193534851,2
0,0,5,Twizzlers Strawberry my childhood favorite candy made in Lancaster Pennsylvania by Y S Candies Inc one of the oldest confectionery Firms in the United States now a Subsidiary of the Hershey Company the Company was established in 1845 as Young and Smylie they also make Apple Licorice Twists Green Color and Blue Raspberry Licorice Twists I like them allbr br I keep it in a dry cool place because is not recommended it to put it in the fridge According to the Guinness Book of Records the longest Licorice Twist ever made measured 1200 Feet 370 M and weighted 100 Pounds 45 Kg and was made by Y S Candies Inc This RecordBreaking Twist became a Guinness World Record on July 19 1998 This Product is Kosher Thank You,0.11388888888888889,0.5083333333333333,0.900102436542511,2
0,0,5,Candy was delivered very fast and was purchased at a reasonable price I was home bound and unable to get to a store so this was perfect for me,0.24,0.72,0.9586656093597412,2
0,0,5,My husband is a Twizzlers addict Weve bought these many times from Amazon because were government employees living overseas and cant get them in the country we are assigned to Theyve always been fresh and tasty packed well and arrive in a timely manner,0.4,0.5,0.9127358198165894,2
0,0,5,I bought these for my husband who is currently overseas He loves these and apparently his staff likes them alsobr There are generous amounts of Twizzlers in each 16ounce bag and this was well worth the price a hrefhttpwwwamazoncomgpproductB001GVISJMTwizzlers Strawberry 16Ounce Bags Pack of 6a,0.11666666666666665,0.2833333333333333,0.9770082831382751,2
